,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
3583,-0.7408419846329896,-0.055758685880579056,0.005950979688393987,0.21557146454362602,0.052181938864947194,0.09299937188987038,0.05033646195681116,0.09409802241472494,0.03992574536782768,0.03920095201251756,-0.028626776574511566,0.01131724020821716,-0.011497231562038307
2130,-1.1290276944507698,0.09045607661219147,0.17370905078534532,-0.14299984656203268,0.19833262463168866,-0.17646362975247137,0.3251019494130024,-0.24243962575887648,-0.1694177538823434,-0.10406998202211785,-0.001686266418058244,0.11274444995215824,0.0019008529831779448
2350,-1.3683524819781636,0.2029924281915795,0.17201779866571404,-0.002385221413172005,0.13164414195164645,-0.13268914877335344,0.08858425096773156,-0.06693233393324474,-0.009210835458653631,-0.014475823273673964,0.006921274221963875,0.02281119506881468,0.0028220182775139093
1538,-1.1981227877795462,0.6007661145377341,0.47309473058232043,0.02529038504287264,0.08171414918072932,-0.2047292286559863,-0.21932471032265152,-0.18810362843306616,0.13082029558656044,-0.02978050063790936,-0.018386189809099084,-0.005523159933388054,-0.005376457944141602
1994,-0.2540724497804211,-0.007502495585876419,-0.3018374741597474,-0.23216536589794046,-0.1386023496773948,-0.054320889899637716,-0.10076216223694451,-0.15754785727689055,-0.14099226886987218,-0.03983598392908364,-0.10622462979852956,0.09193994258044609,-0.015691456470750688
5101,-1.3331733372565822,0.10277836310759171,0.05664613677605693,0.015471816951089908,0.09993968773780704,-0.03559907421679414,0.10076283664284232,0.05122244871822752,0.04768258147388046,-0.02616136180118029,-0.020523178804768873,0.07353706904994002,0.029889140730526988
1482,0.031229901858309667,-0.4056660994425733,-0.08082463897040994,0.35813413761628216,0.038426356004838805,0.3581281281936183,-0.13701299835366562,0.24327232160890255,0.2743671393840789,-0.007532901816698629,-0.005299818757186716,-0.03169672475165977,-0.0010148865382376719
4400,-0.8454939509087047,0.3800687125231157,0.14460132293703729,-0.07049021808367538,-0.04763549080416011,-0.09085319687551888,-0.03973798571767973,-0.19176886643393118,0.0485680475743724,-0.02468907919006765,-0.01152595000203965,0.02910964583904905,-0.0183311389231132
4256,-1.9513256681010709,0.45772255087458313,0.22852253584283946,-0.026388795771376,0.11650337751000935,-0.21097373063229435,0.10369058989056747,-0.07894316856273548,0.029690506399718146,-0.017416354257113773,-0.00849784288939476,0.02251771384187499,-0.004334277587109959
964,0.04652883009906863,-0.5288220665904825,-0.3751932139361994,0.2122068068837214,-0.12268493044892921,0.4305281091473047,-0.16498427517068617,0.49020217526978127,0.4620108415785989,-0.21943791449679823,0.11062266602131503,-0.05445327201446559,0.05738013782585428
5532,-0.09336771296069225,-0.12108580974021278,-0.008610767799528986,-0.11512643920983123,0.0557465028448989,-0.26996785804534884,0.014035913396671075,-0.14187485160677168,-0.02699990149992158,-0.11052456321265938,-0.09421997989793128,0.038861862868538724,0.044394072437338256
