,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE
3583,21.3,72.4,150.2,0.36,11.5,29.6,92.5,6.0,2.79,137.0,38.0,528.0,388.0,30.45,770.7,0.03950953673347666,0.06355525596946507,0.015463917485917739,0.2594696964782771,0.029639175181342334,1477.65,113.66538461538462,156.75738434896456,528.0,0.36,527.64
2130,2.68,96.9,96.0,0.66,17.7,27.1,19.6,0.25,1.75,23.4,15.9,906.0,130.0,5.34,385.5,0.013852140041888093,0.11858732453828101,0.0019230769082840239,0.0258278145410289,0.13615384510650888,1337.94,102.91846153846154,235.4840933006583,906.0,0.25,905.75
2350,12.8,47.7,78.0,0.54,11.1,17.5,30.5,0.43,1.98,115.0,15.7,356.0,154.0,15.75,343.4,0.045864880472146534,0.11518599161411594,0.002792207774076573,0.3230337069577705,0.07207792160988362,841.25,64.71153846153847,95.82521956836543,356.0,0.43,355.57
1538,68.3,48.9,60.7,2.46,22.2,14.3,20.3,7.07,7.92,530.0,12.5,181.0,134.0,85.75,290.7,0.29497763916416364,0.18552226072025413,0.052761193636110496,2.9281767794023383,0.16567164055468925,1109.65,85.35769230769232,138.40432953176028,530.0,2.46,527.54
1994,25.2,164.0,193.0,15.6,38.0,50.7,70.8,1.56,6.5,74.6,44.4,144.4,361.0,48.86,883.9,0.05527774628885876,0.992604228232893,0.004321329627918755,0.5166204950372542,0.10526315760314915,1189.7599999999998,91.51999999999998,97.6324577177078,361.0,1.56,359.44
5101,4.61,51.08,79.55,0.41,6.67,18.73,38.22,0.57,1.49,24.0,19.98,257.0,247.18,7.080000000000001,454.74,0.015569336289815421,0.13005521869269143,0.0023060118039242177,0.09338521364441552,0.026984383740657075,749.49,57.653076923076924,85.81247554850817,257.0,0.41,256.59
1482,37.5,101.5,243.1,0.35,16.2,41.9,139.6,1.08,2.88,335.0,59.4,725.0,747.0,41.81,1332.5,0.03137711067063632,0.0512406096850778,0.0014457831305946679,0.4620689648799049,0.021686746958920016,2450.51,188.50076923076924,252.6454254928935,747.0,0.35,746.65
4400,52.8,90.3,115.9,3.21,28.2,27.1,39.5,6.91,9.29,214.54,24.08,276.34,229.5,72.21,526.38,0.1371822635032063,0.19832278861768368,0.030108932330680033,0.7763624492423737,0.12287581645805744,1117.67,85.97461538461539,90.79099054043638,276.34,3.21,273.13
4256,12.59,9.18,7.66,0.6,5.24,2.35,1.96,1.19,1.68,12.44,1.29,15.25,9.53,16.06,31.97,0.5023459336144531,0.20222318274162468,0.12486882215437334,0.8157376514270392,0.5498425446125348,80.96000000000001,6.227692307692308,4.949618717011138,15.25,0.6,14.65
964,13.98,107.46,274.76,0.71,19.22,41.5,136.28,1.04,2.86,134.17,54.62,216.65,957.74,18.59,1572.36,0.01182299218256443,0.09576319704910453,0.0010858896975318045,0.6192937889716418,0.020068076910155077,1960.9899999999998,150.8453846153846,247.64919113739487,957.74,0.71,957.03
