,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
4328,1.61,173.0,344.0,0.08,16.58,66.4,98.0,0.22,1.51,121.0,68.8,3329.0,702.0
4179,16.64,77.0,136.0,0.63,21.1,30.0,54.4,5.73,4.75,218.0,28.8,440.0,259.0
4154,6.26,90.3,180.0,0.47,15.6,36.4,95.0,0.73,2.43,133.0,41.5,379.0,430.0
3621,10.0,365.0,606.0,1.91,76.0,124.1,208.0,3.38,9.6,109.0,106.9,222.0,1058.0
6349,7.63,46.5,114.09,0.65,11.8,21.14,96.16,1.45,1.77,206.03,31.95,242.0,335.63
5019,10.16,35.1,58.9,0.41,8.7,13.7,32.4,0.82,3.7,43.8,15.4,96.8,149.0
3013,7.12,83.3,168.0,0.74,18.3,36.5,75.9,1.76,3.36,112.0,36.1,224.0,353.0
2194,19.0,73.6,142.7,0.37,13.8,27.8,54.7,0.88,2.15,104.0,30.4,132.0,371.0
3670,7.42,49.6,95.7,0.2,8.17,20.29,43.4,0.43,1.43,99.0,22.0,266.0,214.4
7134,13.0,105.0,188.0,0.29,22.0,42.0,73.0,1.54,3.62,162.0,41.0,577.0,369.0
4549,11.56,36.65,69.34,0.28,8.07,15.03,28.65,0.83,1.61,73.01,14.69,67.95,137.23
6910,23.86,59.1,108.11,1.24,15.9,23.71,42.77,1.5,2.82,61.01,23.34,51.72,209.19
6643,34.1,58.7,108.0,0.84,13.8,22.5,49.6,1.26,3.13,208.0,24.3,173.0,250.0
3021,9.55,89.7,147.0,0.96,22.4,32.5,58.5,1.17,3.07,214.0,29.2,304.0,262.0
6733,12.37,144.99,199.5,1.35,46.72,47.92,57.42,3.69,6.86,58.44,40.2,51.82,336.02
4993,35.8,242.0,469.0,1.78,40.7,98.5,227.0,1.62,12.68,479.0,122.4,1336.0,1025.0
5689,39.9,133.0,263.0,11.3,37.0,48.1,188.0,44.8,23.8,1526.0,84.5,2612.0,988.0
2321,46.2,158.0,243.0,0.56,45.0,43.6,92.0,1.56,7.8,122.1,44.1,209.0,462.0
