,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
1803,6.4,56.1,89.1,0.37,16.0,19.2,31.9,2.87,4.03,402.0,18.6,516.0,194.0
90,16.4,53.6,101.0,0.25,12.2,20.8,39.6,1.88,2.16,90.2,21.6,87.0,207.0
2205,14.5,99.6,159.0,0.5,25.7,33.1,49.6,2.78,5.31,152.0,32.0,144.0,359.0
5575,23.2,179.0,335.0,0.46,38.6,66.0,132.0,4.0,7.7,1263.0,72.0,2243.0,799.0
3284,31.4,419.0,750.0,0.79,92.0,165.0,258.0,4.78,13.96,384.0,144.0,676.0,1237.0
6233,18.79,139.0,182.0,3.44,49.83,45.0,65.0,7.55,11.42,266.0,36.0,278.0,310.0
4166,11.98,186.9,357.0,0.78,41.7,75.6,138.9,1.84,7.2,424.0,74.4,719.0,688.0
4235,5.34,82.0,163.0,0.11,14.2,30.9,60.4,0.33,2.06,79.0,33.5,219.0,306.0
5249,9.06,47.9,82.8,0.54,10.69,17.6,34.97,0.64,4.27,17.24,19.07,47.9,178.5
4282,10.06,23.0,51.0,0.26,4.7,9.5,25.0,0.25,0.59,135.0,11.7,274.0,111.0
2002,8.6,49.4,92.4,0.19,10.8,19.3,33.8,0.79,1.9,91.0,19.7,116.0,215.0
3223,3.73,27.6,21.7,0.29,13.5,5.41,3.8,1.01,3.18,120.0,3.02,666.0,20.5
1804,26.3,95.8,198.2,0.7,17.5,38.4,81.2,0.6,2.58,372.0,42.4,532.0,477.0
2365,7.2,167.0,299.0,3.8,81.0,63.8,74.0,42.0,20.3,39.7,49.4,66.5,434.0
5463,33.45,43.03,63.28,2.59,17.61,14.33,27.24,10.44,6.63,116.92,34.525000000000006,199.88,151.75
4702,13.1,59.2,86.7,0.76,15.5,19.5,27.7,2.6,3.68,53.18,19.5,98.13,198.0
6743,88.84,137.58,264.61,2.32,34.92,55.0,110.22,1.82,4.18,60.41,58.92,108.14,566.5
888,52.81,70.06,141.62,0.65,15.67,28.59,77.58,1.84,2.77,798.85,33.15,1178.12,340.52
1846,26.3,67.8,127.0,0.41,13.6,26.1,54.3,0.94,2.14,153.0,29.3,147.0,334.0
51,34.51,145.95,250.25,3.34,38.57,54.85,111.52,3.33,6.59,289.0,58.5,323.0,541.52
6800,29.05,109.99,185.07,1.55,27.01,39.94,70.38,2.73,4.98,95.77,42.66,88.16,424.54
2786,5.17,79.2,136.4,0.36,17.8,28.3,51.2,0.82,3.08,101.0,27.9,881.0,263.0
2888,79.0,692.0,1138.0,0.8,155.0,243.0,270.0,30.9,38.0,2553.0,223.0,2620.0,2091.0
3759,9.5,53.2,107.0,0.29,14.4,20.0,37.1,0.63,1.08,50.0,20.1,145.0,209.0
6701,22.2,35.7,55.9,0.68,12.0,12.8,23.0,1.25,2.27,68.9,12.2,62.1,114.0
272,6.71,62.9,93.5,0.85,17.4,21.3,38.3,4.77,3.46,166.0,20.0,532.0,204.0
4508,37.68,118.0,188.25,3.34,36.23,42.48,77.22,5.2,8.75,327.11,40.07,342.22,372.04
7201,169.0,751.0,529.0,7.0,405.0,167.0,71.0,113.0,155.0,2504.0,82.0,1104.0,526.0
2952,73.0,128.0,211.0,1.0,30.0,48.0,68.0,21.0,9.0,191.0,50.0,160.0,516.0
2203,19.8,100.1,180.9,0.4,20.4,36.0,60.7,1.3,3.24,75.0,36.4,144.0,422.0
7118,3.66,31.0,64.0,0.06,4.82,13.0,29.0,0.25,0.65,31.0,15.0,176.0,141.0
5735,292.0,233.0,430.0,4.38,53.7,101.0,216.0,2.97,9.05,1284.0,116.0,973.0,916.0
1354,11.7,51.4,60.6,0.74,16.7,15.6,18.8,1.72,3.99,87.9,11.0,140.0,93.0
6017,11.0,160.0,220.0,0.4,48.0,53.0,62.0,6.0,11.0,444.0,42.0,332.0,386.0
4507,68.75,155.49,244.68,4.6,47.13,55.88,97.59,6.89,10.93,561.27,51.95,615.44,480.39
6419,5.75,59.3,115.11,0.13,13.25,23.33,47.25,1.12,2.91,562.85,24.79,1469.4,238.87
3207,18.9,87.0,167.0,0.56,16.1,36.0,84.3,0.6,1.88,169.0,36.8,413.0,397.0
3792,81.8,140.6,277.0,2.5,37.1,56.4,109.1,2.99,5.1,311.0,56.9,263.0,563.0
6273,48.36,260.0,390.0,4.83,81.73,95.0,146.0,14.98,17.46,707.0,80.0,416.0,724.0
1397,15.2,50.5,106.7,0.28,10.2,19.2,42.6,0.71,1.67,77.0,21.6,83.0,242.0
6330,12.08,54.05,111.49,0.29,10.22,22.76,52.6,0.48,1.76,280.62,29.86,3435.53,260.3
5219,7.77,67.6,161.4,0.7,10.9,27.9,104.6,0.65,3.84,22.98,43.2,68.1,406.0
4008,40.1,100.6,162.0,0.8,20.0,34.2,92.0,1.21,3.26,322.0,41.7,627.0,442.0
4035,3.37,18.8,46.3,0.34,4.1,8.35,33.8,0.31,0.77,54.0,11.4,129.0,129.9
4633,33.5,58.2,95.2,0.94,15.29,20.67,38.5,3.08,4.29,43.03,22.14,107.59,228.8
6260,12.13,81.0,173.0,0.68,20.16,35.0,80.0,11.76,5.62,185.0,39.0,899.0,373.0
2803,23.8,28.9,57.2,0.37,6.96,11.0,33.6,1.1,1.33,272.0,13.5,627.0,146.0
5128,9.18,71.1,149.1,1.02,12.73,30.1,84.3,0.98,5.24,49.9,38.2,143.3,343.0
87,6.4,31.8,54.6,0.74,8.26,11.8,19.8,1.14,1.89,91.7,10.8,71.2,103.0
3386,16.6,57.4,129.7,0.1,9.61,24.9,78.2,0.27,0.96,40.0,31.3,595.0,316.0
4511,23.53,75.92,132.98,1.82,18.38,29.3,57.2,3.06,4.17,191.69,29.11,330.92,281.62
6826,108.66,157.31,273.49,2.15,42.46,60.54,113.75,3.65,7.44,395.81,62.33,366.26,556.27
4777,13.47,59.5,111.0,0.17,11.96,22.65,45.4,0.91,2.25,55.0,27.3,409.07,285.3
6961,25.97,76.28,123.21,2.88,25.43,29.19,52.38,4.81,5.51,45.98,25.54,31.12,241.02
3974,12.24,40.8,77.0,0.21,7.26,17.5,34.9,0.47,1.23,146.0,15.7,379.0,164.0
5126,6.81,50.1,104.9,0.76,9.74,20.7,64.8,0.73,4.2,35.0,27.9,113.9,268.0
826,32.49,72.5,154.0,0.81,15.4,30.5,86.2,0.95,2.33,403.0,36.0,470.0,372.0
1711,39.2,406.0,671.2,0.41,95.8,149.9,197.7,9.07,16.37,1156.0,128.8,842.0,1285.0
6427,4.87,66.84,124.39,0.16,14.18,28.32,51.26,0.45,3.69,182.28,27.3,1047.89,270.04
2304,20.6,102.0,190.0,2.1,34.0,37.6,60.1,3.4,15.4,62.4,35.6,133.3,313.0
1854,5.0,203.9,329.9,0.66,50.6,73.1,96.8,7.03,11.15,169.0,65.5,157.0,660.0
4561,8.65,5.22,4.51,0.53,3.37,1.39,1.49,1.05,1.11,44.96,0.83,21.13,7.08
5017,8.33,26.15,49.1,0.29,5.91,10.04,22.32,0.49,2.61,35.3,12.21,79.5,117.9
3755,32.2,113.6,186.5,2.77,34.0,39.8,65.5,5.64,5.67,111.0,35.4,136.0,349.0
6134,40.02,912.0,1639.0,0.01,143.5,352.0,698.0,9.83,20.29,3300.0,388.0,17127.0,3619.0
2396,31.01,79.92,157.0,1.32,18.6,32.63,81.59,1.01,2.69,470.0,39.49,647.0,436.0
2937,56.0,153.0,274.0,2.0,33.0,60.0,103.0,12.0,9.0,247.0,62.0,186.0,596.0
4829,25.3,180.0,173.0,5.01,41.4,48.8,55.6,6.51,8.48,68.78,34.7,586.96,345.0
2198,21.0,80.3,150.1,0.86,17.5,29.5,57.1,1.5,3.44,145.0,32.1,135.0,385.0
4616,2.36,13.0,26.6,0.13,2.26,5.12,12.05,0.12,0.31,2.82,6.41,8.02,69.5
3039,19.4,114.7,223.0,0.58,20.6,44.4,102.0,1.27,3.08,479.0,48.1,689.0,485.0
5847,3.5,149.0,293.0,2.86,27.6,60.9,220.0,0.51,3.03,58.0,75.6,315.0,897.0
2963,73.0,85.0,280.0,1.0,14.0,44.0,272.0,5.0,5.0,1368.0,96.0,1461.0,1357.0
6074,19.0,218.0,285.0,3.7,47.0,67.0,88.0,3.7,9.1,486.0,54.0,984.0,556.0
1239,17.09,76.09,163.92,0.2,12.33,23.74,52.76,4.82,2.6,128.32,26.21,228.62,436.92
6776,26.42,50.24,83.18,1.37,16.86,17.67,34.7,3.79,3.68,20.21,17.32,26.95,171.09
4610,26.87,30.13,23.47,2.47,23.74,7.47,5.04,7.13,9.75,96.62,3.62,59.8,27.03
3071,25.6,67.6,132.5,0.57,14.2,27.9,57.5,0.7,1.93,115.0,33.9,240.0,294.0
4660,25.5,420.0,561.0,0.53,110.5,137.0,140.0,16.51,29.5,107.93,112.0,257.11,994.0
36,27.04,68.54,165.33,0.4,13.52,31.6,85.21,1.03,1.49,148.0,42.28,349.0,391.79
2442,2.17,73.1,71.2,0.6,14.0,20.1,14.4,0.2,1.2,19.6,12.7,810.0,104.0
4879,8.25,107.8,183.4,0.28,25.6,39.5,56.5,1.38,3.97,91.85,39.0,194.01,375.0
2373,5.3,241.0,281.0,1.5,71.0,84.2,107.0,1.56,10.3,104.2,66.8,192.0,598.0
7115,7.97,79.0,144.0,0.19,15.0,32.0,58.0,0.7,2.45,115.0,32.0,479.0,292.0
5511,293.8,108.0,163.0,1.61,51.3,36.0,58.0,168.5,39.2,318.0,33.0,602.0,359.0
884,49.24,84.91,165.4,0.77,18.94,34.86,78.32,3.28,3.71,539.78,36.92,806.12,363.2
2446,2.39,81.5,81.4,0.61,16.8,23.1,17.0,0.24,1.95,21.4,14.6,832.0,117.0
1880,6.7,148.7,216.0,1.04,41.4,49.6,61.4,3.57,7.49,472.0,41.0,564.0,413.0
2416,2.52,115.0,118.0,0.79,21.2,32.2,23.0,0.53,1.56,20.8,19.5,1278.0,163.0
3882,5.74,75.5,140.0,0.35,16.7,29.1,53.5,0.45,1.79,107.0,31.0,237.0,284.0
297,27.6,160.03,302.7,2.3,28.79,66.67,215.41,1.78,4.05,70.01,79.27,154.49,996.35
5165,3.66,14.09,22.0,0.51,4.35,4.98,11.84,0.64,2.82,7.74,5.28,29.6,69.7
2269,3.3,65.0,174.0,0.59,12.3,29.1,62.2,3.1,3.63,40.6,35.9,315.0,336.0
4882,18.37,164.4,297.9,0.92,32.0,62.2,101.5,1.45,5.03,68.46,67.8,215.28,678.0
3487,2.29,73.0,132.0,0.07,15.6,29.9,55.6,0.74,2.07,122.0,28.6,358.0,271.0
3932,16.4,110.6,142.6,1.11,27.8,37.2,56.7,3.59,7.36,71.0,31.3,102.0,274.0
2119,0.1,10.2,73.6,0.01,19.9,7.8,91.2,0.08,0.07,1.0,25.5,234.0,377.0
4823,3.91,194.0,341.0,1.97,38.6,72.1,126.9,2.51,5.79,47.63,75.9,307.99,741.0
3845,5.22,371.0,622.0,1.92,67.6,134.0,228.0,2.7,8.8,60.0,133.5,90.0,1211.0
6372,23.15,93.12,159.64,5.9,18.3,41.18,75.58,4.78,7.55,106.86,34.18,604.82,406.43
1790,6.4,114.0,146.7,0.16,31.6,35.2,37.4,1.84,5.85,210.0,26.8,303.0,252.0
1444,19.1,99.6,200.1,0.17,18.0,39.8,76.4,0.84,2.73,222.0,40.3,333.0,449.0
2656,29.1,321.0,559.0,3.91,65.3,118.0,200.0,7.8,11.5,2230.0,115.5,4870.0,1017.0
7130,9.1,148.0,258.0,0.37,30.0,58.0,96.0,1.23,4.69,155.0,55.0,568.0,500.0
1855,40.2,111.8,224.3,1.08,21.5,44.3,94.8,1.34,3.84,195.0,51.8,157.0,597.0
4578,22.41,11.21,6.23,1.14,9.82,2.39,1.01,3.51,3.33,36.7,0.96,52.08,6.69
5220,7.85,63.9,150.4,0.58,9.82,26.4,93.7,0.55,3.19,23.79,41.1,70.0,373.0
4173,38.2,68.0,132.0,0.72,16.3,26.0,54.7,1.35,2.53,58.0,27.5,39.0,262.0
6196,54.78,832.0,1401.0,0.13,175.7,314.0,484.0,6.63,25.73,5272.0,286.0,10661.0,2454.0
6444,5.05,58.38,117.87,0.21,10.96,23.78,48.75,0.54,1.18,187.9,25.31,757.83,249.48
5746,30.4,76.6,127.0,0.17,20.8,30.9,63.0,1.67,3.98,254.0,33.3,363.0,269.0
5623,33.5,110.0,208.0,0.37,21.0,42.0,90.0,2.6,3.7,580.0,47.0,1366.0,519.0
248,0.8,202.0,345.0,0.16,36.5,79.0,113.0,1.33,2.56,55.8,71.8,260.0,621.0
3060,14.6,69.3,115.2,1.03,16.4,25.5,45.9,1.65,3.06,81.0,27.9,193.0,239.0
1420,28.2,92.3,185.8,0.34,16.7,36.4,76.1,1.16,2.18,204.0,39.4,209.0,433.0
2254,7.4,146.0,204.0,0.59,33.0,55.6,71.6,1.56,4.4,197.6,43.2,445.0,419.0
6274,19.13,105.0,171.0,1.78,33.2,40.0,70.0,4.22,7.3,225.0,36.0,186.0,337.0
4055,7.07,109.4,198.0,0.52,24.1,42.4,82.3,1.17,2.92,219.0,43.6,490.0,384.0
1718,22.7,134.6,222.9,2.39,37.3,47.7,83.3,4.06,8.02,140.0,46.3,75.0,498.0
1910,21.8,48.8,87.6,0.54,13.0,18.5,34.8,0.99,2.22,137.0,18.4,137.0,203.0
2924,67.0,179.0,288.0,1.0,34.0,65.0,102.0,17.0,10.0,393.0,76.0,336.0,891.0
3115,23.1,87.7,152.3,0.32,16.0,30.9,62.2,0.74,1.7,263.0,35.7,579.0,339.0
5837,8.74,187.0,295.0,0.41,46.1,71.8,102.0,9.83,11.0,269.95,61.0,446.51,467.0
6601,12.1,11.3,12.2,0.65,4.63,3.17,3.78,1.46,1.49,19.0,2.15,399.0,20.7
1482,11.5,64.6,112.5,0.34,14.0,24.1,41.1,1.12,2.37,102.0,24.1,117.0,255.0
2929,34.0,112.0,161.0,3.0,33.0,39.0,52.0,7.0,9.0,101.0,39.0,64.0,406.0
2153,9.5,82.5,139.2,1.31,22.1,28.6,48.5,3.02,5.66,78.0,28.4,78.0,336.0
1783,16.9,64.6,95.5,0.42,17.9,21.1,31.4,1.04,3.43,98.0,18.6,260.0,196.0
2514,1.81,193.0,345.0,0.56,23.6,69.9,119.0,0.54,1.53,36.1,74.4,622.0,780.0
5810,5.6,89.1,149.0,0.15,18.3,35.3,56.3,2.09,3.4,66.45,32.0,162.43,251.0
5132,7.51,67.9,152.3,0.55,10.36,30.0,99.8,0.5,3.22,49.7,43.3,174.6,413.0
3084,15.2,33.3,62.6,0.32,3.61,13.69,31.8,0.53,0.8,134.0,16.4,347.0,160.9
3407,61.1,129.0,255.0,1.08,27.1,55.5,117.0,1.67,4.63,219.0,59.0,285.0,555.0
5659,3.58,163.1,322.8,0.54,13.49,70.75,99.58,0.39,1.86,20.19,79.25,238.7,726.5
6741,63.69,87.38,155.76,0.65,26.11,31.31,63.05,1.66,2.84,264.29,35.57,207.05,319.29
6158,21.6,588.0,1070.0,0.01,98.65,235.0,377.0,3.36,10.8,2874.0,223.0,12660.0,2027.0
2413,0.9,129.0,189.0,0.49,16.3,42.7,62.2,0.56,1.45,9.67,37.3,1315.0,383.0
1200,14.13,44.79,92.18,0.33,9.17,13.69,31.0,0.76,1.59,59.47,15.26,74.93,254.34
7136,5.39,83.0,164.0,0.16,14.0,35.0,71.0,0.47,1.99,76.0,38.0,414.0,356.0
2754,16.8,117.1,192.0,2.08,33.9,42.8,78.1,4.89,7.37,293.0,40.2,644.0,370.0
6559,32.4,173.0,237.0,2.86,59.2,58.5,72.5,11.7,13.3,351.0,47.1,561.0,411.0
1928,10.3,141.1,220.2,0.43,34.9,47.8,63.8,3.14,6.68,227.0,42.5,168.0,421.0
6079,8.6,131.0,211.0,1.1,34.0,45.0,73.0,3.7,6.3,390.0,42.0,679.0,438.0
1346,16.21,138.6,334.41,1.13,28.1,50.26,157.5,1.83,3.83,202.45,66.51,239.96,1151.4
7211,563.0,216.0,143.0,1.0,149.0,44.0,15.0,683.0,191.0,8758.0,22.0,2329.0,137.0
7168,15.0,118.0,175.0,0.67,33.0,42.0,59.0,10.0,8.69,138.0,35.0,434.0,308.0
4719,9.26,46.0,77.6,0.16,9.85,16.74,25.11,0.71,1.98,92.89,17.01,199.78,171.6
814,45.23,107.0,231.0,0.84,20.04,46.2,129.0,1.97,3.29,492.0,55.7,976.0,570.0
5493,26.81,111.54,194.46,2.37,27.3,42.04,86.12,2.34,4.57,159.11,34.525000000000006,283.02,464.42
5830,4.63,88.1,161.0,0.16,16.8,36.7,63.4,1.52,2.74,114.7,34.6,243.87,275.0
3862,5.29,89.1,162.6,0.22,16.8,33.8,75.9,0.52,2.89,54.0,37.0,155.0,389.0
5025,13.92,71.3,134.5,0.76,15.82,26.8,55.8,1.16,6.69,94.1,31.5,149.5,252.8
6796,363.0,1052.0,728.0,20.0,675.0,241.0,106.0,474.0,425.0,2379.0,113.0,936.0,760.0
2399,0.76,23.3,9.09,0.62,7.33,3.69,1.12,1.56,0.62,19.7,1.17,1781.0,9.7
3851,4.7,46.6,102.0,0.28,10.0,21.4,40.5,0.59,1.27,45.0,23.4,118.0,200.0
5600,3.4,97.0,150.0,0.49,25.6,32.0,50.0,2.5,4.5,95.0,29.0,210.0,304.0
1778,10.4,128.2,178.2,0.42,40.0,41.8,48.1,3.61,7.54,389.0,32.1,245.0,316.0
2260,16.4,63.0,83.0,0.59,25.0,23.8,38.3,1.56,3.63,101.6,17.9,260.0,146.0
5989,30.0,51.0,107.0,0.5,10.0,21.0,61.0,1.3,2.3,228.0,27.0,385.0,302.0
1220,6.14,111.73,229.83,0.08,18.6,34.58,71.9,2.87,3.51,200.26,35.9,352.07,610.22
6758,17.42,73.35,127.97,0.79,23.19,27.31,53.45,1.61,2.88,78.36,28.36,98.8,273.71
4669,22.2,158.2,327.0,0.86,28.6,64.5,127.6,9.3,6.3,51.12,72.4,95.08,699.0
1784,14.4,62.7,106.8,0.35,14.4,23.0,34.6,1.03,2.58,98.0,21.3,270.0,225.0
4308,28.54,79.0,180.0,0.39,15.4,33.7,101.1,0.65,2.01,382.0,42.8,1250.0,437.0
1352,20.0,51.2,81.1,1.38,14.1,18.2,35.3,1.88,3.41,71.9,17.6,63.1,160.3
4921,10.93,109.47,200.4,0.32,21.74,44.24,86.48,1.21,2.02,151.49,45.43,429.07,437.99
1591,4.7,111.0,213.6,0.16,22.6,42.9,75.9,1.1,3.53,100.0,42.2,163.0,475.0
793,30.51,57.9,128.0,0.57,12.1,25.1,76.6,1.12,1.77,305.0,30.8,472.0,323.0
5447,48.1,145.0,202.0,5.0,51.5,48.1,69.4,11.9,15.7,107.0,34.525000000000006,84.3,403.0
3766,7.54,12.3,36.8,0.33,3.4,5.98,34.1,0.45,0.33,44.0,9.69,185.0,128.5
5449,121.0,1167.0,747.0,56.9,470.0,249.0,142.0,130.0,163.0,1680.0,34.525000000000006,789.0,1110.0
3947,12.4,58.2,87.6,0.29,10.7,22.1,42.2,0.62,2.01,63.0,21.1,203.0,226.0
5744,62.8,80.4,133.0,0.5,22.1,32.4,62.7,2.29,4.68,404.0,35.3,351.0,276.0
6020,1.8,236.0,469.0,0.5,33.0,94.0,177.0,2.2,4.1,134.0,103.0,1226.0,1045.0
3434,5.0,74.4,114.0,0.52,25.1,26.6,41.7,3.71,6.68,25.0,22.6,68.0,200.0
4209,2.42,28.0,18.0,0.29,18.4,6.0,2.9,2.15,5.22,79.0,2.6,179.0,18.0
3439,42.1,119.0,212.0,2.3,30.0,46.2,82.7,1.64,4.39,71.0,43.6,83.0,425.0
4054,8.42,84.9,129.9,1.04,27.3,30.7,52.7,2.39,4.23,217.0,27.2,482.0,258.0
1111,11.62,93.51,185.87,0.91,17.89,27.38,64.8,1.52,3.37,87.67,30.1,121.26,515.9
6181,19.65,396.0,728.0,0.09,81.58,159.0,278.0,3.33,10.64,2307.0,152.0,6598.0,1358.0
3242,6.65,63.8,113.4,0.18,14.44,24.3,44.8,1.12,2.09,60.0,25.0,119.0,216.0
2242,10.3,108.6,196.8,0.83,22.1,38.6,71.3,1.04,3.59,191.0,41.3,364.0,499.0
222,27.4,67.1,125.0,0.5,10.4,25.6,54.1,1.04,2.29,106.0,33.3,113.0,373.0
2200,24.3,35.7,61.9,0.57,9.1,12.1,22.8,0.94,1.95,108.0,13.3,141.0,161.0
6418,3.72,27.07,59.24,0.02,4.72,11.96,27.11,0.42,0.57,182.54,13.4,1226.06,137.08
731,20.43,71.5,146.0,0.78,14.3,29.7,75.5,0.91,1.95,209.0,33.6,378.0,338.0
5357,35.5,83.2,155.0,0.29,18.9,37.0,71.4,1.16,3.8,448.0,39.2,513.0,312.0
1470,36.1,78.1,134.5,0.9,19.5,27.6,53.5,2.19,3.89,67.0,28.8,100.0,313.0
3384,28.3,77.3,156.4,0.23,13.1,29.9,76.6,0.77,1.8,228.0,35.8,558.0,341.0
4608,26.72,16.94,12.92,1.35,12.9,4.0,2.52,4.16,5.49,27.85,1.83,27.17,14.18
698,28.32,84.2,173.0,0.8,16.4,35.0,88.0,0.85,2.44,311.0,41.2,465.0,425.0
1511,6.1,71.3,122.5,0.23,15.4,26.5,41.1,1.49,3.0,137.0,25.1,185.0,260.0
7111,10.0,100.0,192.0,0.24,18.0,41.0,80.0,2.63,3.04,105.0,43.0,506.0,402.0
5192,9.76,62.3,126.4,0.61,10.72,26.5,75.9,0.54,3.62,150.4,33.6,288.0,318.0
3365,17.54,134.3,258.8,0.82,32.4,52.8,94.3,3.15,5.69,150.0,51.4,307.0,463.0
7097,15.0,40.0,50.0,1.12,24.0,12.0,19.0,26.0,19.0,500.0,10.0,349.0,94.0
3837,4.24,94.0,168.0,1.62,23.0,39.7,56.8,0.97,3.64,67.0,36.1,65.0,296.0
1538,31.1,110.3,196.7,1.32,24.0,40.7,74.5,1.73,3.69,277.0,41.9,318.0,442.0
7069,21.9,221.49,307.13,3.77,71.04,72.61,95.87,9.66,15.02,167.76,63.01,66.92,544.49
3804,18.4,91.8,152.5,1.61,30.8,31.7,63.0,4.4,5.9,153.0,31.0,352.0,328.0
4742,0.56,79.1,191.0,0.09,8.05,34.8,99.8,0.18,0.8,38.11,51.9,86.76,597.0
860,244.21,424.6,650.3,15.61,143.39,148.73,267.51,26.6,38.38,6339.41,138.85,3324.25,1300.74
7092,4.09,33.0,50.0,0.09,8.0,12.0,20.0,0.66,1.69,131.0,11.0,384.0,100.0
5634,38.1,118.0,223.0,0.33,22.8,43.0,94.0,1.3,3.7,640.0,50.0,1408.0,555.0
6547,45.5,34.2,62.4,1.14,9.46,13.4,33.9,4.92,2.44,199.0,15.9,251.0,163.0
2196,14.2,88.2,130.4,2.1,28.6,27.9,42.3,5.96,8.65,58.0,25.7,134.0,301.0
3536,0.98,189.0,331.0,0.1,41.3,76.0,133.0,2.52,5.8,50.0,66.0,131.0,610.0
3159,1.69,49.4,85.5,0.1,10.9,19.1,34.9,0.82,1.63,37.0,19.6,109.0,163.0
2704,0.38,68.1,45.6,0.46,24.1,14.4,10.8,0.48,2.64,13.0,6.64,809.0,55.9
1814,41.1,108.3,179.8,1.45,25.8,37.3,65.4,3.35,5.55,91.0,38.1,52.0,430.0
1357,20.0,79.3,112.0,2.03,27.7,26.5,43.5,5.07,6.95,178.0,23.9,299.0,202.0
4573,19.38,21.11,49.7,0.31,4.25,9.18,31.73,0.3,0.58,52.9,12.37,123.97,135.04
275,25.8,383.0,595.0,3.67,101.0,139.0,190.0,12.1,20.2,661.0,127.0,586.0,1095.0
4155,20.6,103.0,185.0,0.55,24.8,44.3,79.1,5.9,5.7,247.0,42.3,395.0,377.0
5108,18.11,50.0,120.9,0.49,8.75,21.08,70.0,0.84,3.28,357.0,33.5,882.0,315.0
4441,7.12,76.48,146.78,0.45,16.06,30.81,68.28,1.09,2.56,122.04,33.6,310.43,325.62
5200,5.7,88.7,166.1,0.51,17.18,35.7,68.8,1.05,6.54,40.6,39.5,129.5,326.0
5581,20.8,83.0,157.0,0.14,16.8,31.0,67.0,1.4,2.7,671.0,36.0,1546.0,408.0
1273,21.78,143.38,345.15,1.19,28.28,52.17,163.99,2.22,4.85,375.53,66.61,389.75,1156.78
4662,16.28,56.8,92.5,0.28,12.46,20.48,28.9,1.18,2.6,105.87,20.52,373.56,197.8
4455,10.77,111.39,221.18,0.71,23.68,46.13,102.06,1.65,3.79,142.84,49.27,339.8,483.41
6814,29.04,115.73,174.23,3.0,32.41,38.64,60.64,4.4,7.26,89.96,38.73,75.0,383.6
6283,33.19,99.0,175.0,1.46,28.54,38.0,82.0,2.8,5.38,326.0,40.0,305.0,382.0
4073,9.6,49.3,112.4,0.48,9.9,19.9,77.2,0.97,1.52,345.0,28.0,770.0,307.0
4283,9.11,189.0,312.0,0.84,48.9,70.4,94.1,4.94,9.79,145.0,58.9,237.0,486.0
7187,518.0,192.0,105.0,0.3,137.0,33.0,18.0,681.0,235.0,7722.0,17.0,967.0,133.0
2170,20.7,77.5,168.4,0.36,13.6,31.1,70.8,0.71,2.11,118.0,37.3,103.0,471.0
1392,63.7,180.0,341.0,2.2,40.5,69.1,164.0,2.36,5.96,1626.0,76.5,4494.0,1028.0
6223,23.02,285.0,495.0,0.16,61.57,112.0,185.0,2.6,8.73,1357.0,106.0,3279.0,905.0
6445,6.18,39.72,74.82,0.2,9.19,14.93,31.21,0.17,0.69,285.27,16.65,1019.29,167.71
5438,13.4,119.0,89.9,2.56,49.8,28.2,20.0,15.8,17.4,1283.0,34.525000000000006,507.0,153.0
4814,12.67,43.0,88.4,0.57,8.29,17.66,45.4,0.7,1.35,46.89,22.76,136.6,252.0
4301,9.16,29.0,17.0,0.8,24.8,6.2,2.0,8.84,11.08,667.0,2.2,918.0,14.0
1120,1.84,219.99,265.33,2.38,53.68,50.06,50.36,3.6,9.17,169.37,34.77,499.27,494.75
2578,1.16,98.8,111.0,0.44,14.8,29.8,23.0,0.19,1.92,11.4,21.0,1122.0,176.0
4653,23.08,161.4,262.8,0.72,32.7,58.4,80.0,2.71,6.71,63.7,58.0,205.59,542.0
200,51.3,461.0,696.0,0.41,115.0,167.0,172.0,13.3,21.6,356.0,127.0,804.0,1024.0
3109,18.6,94.1,150.5,0.89,20.6,34.7,68.0,1.35,2.57,134.0,35.9,537.0,326.0
5626,35.4,134.0,223.0,0.26,28.5,48.0,78.0,2.1,5.0,701.0,46.0,1204.0,481.0
781,47.76,105.0,210.0,1.26,21.7,42.9,111.0,2.24,3.82,622.0,48.4,709.0,487.0
3273,10.77,121.3,242.0,0.48,24.3,51.1,102.7,1.37,3.14,287.0,51.1,551.0,463.0
2701,0.41,69.0,51.8,0.35,23.5,16.6,11.0,0.51,2.22,10.0,8.09,585.0,62.9
6234,22.37,249.0,403.0,0.17,57.75,93.0,144.0,5.47,9.2,1070.0,82.0,2209.0,738.0
1622,29.5,67.2,123.6,0.33,16.0,24.8,42.1,1.49,2.72,243.0,23.8,318.0,253.0
6140,15.89,308.0,520.0,0.02,61.51,110.0,257.0,6.97,12.38,635.0,125.0,5568.0,1309.0
1791,44.4,90.8,190.1,0.28,14.5,36.7,61.4,0.9,2.31,346.0,38.7,311.0,391.0
6163,39.36,619.0,1160.0,0.01,103.5,249.0,479.0,1.5,10.32,3074.0,262.0,16013.0,2463.0
5099,9.86,65.9,128.5,0.48,11.85,26.2,67.9,0.79,4.41,81.9,34.0,332.0,299.0
1501,18.8,61.7,112.2,0.42,13.0,22.2,44.3,0.99,2.72,149.0,24.0,146.0,272.0
5222,6.49,53.2,126.4,0.62,9.24,23.49,82.9,0.55,3.15,17.14,35.0,100.6,330.0
4899,6.24,28.26,51.06,0.25,7.31,10.79,22.99,0.92,1.12,55.62,11.07,87.36,108.92
5602,42.4,290.0,431.0,0.7,72.8,98.0,114.0,5.7,11.5,198.0,79.0,274.0,755.0
