,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,Ce_log,Dy_log,Er_log,Eu_log,Gd_log,Ho_log,Lu_log,Nd_log,Sm_log,Th_log,Tm_log,U_log,Yb_log,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE,x_3d,y_3d,z_3d,dist_to_center
2025,86.46003263,1646.341463,3275.0,781.5275311,979.8994975,2216.117216,5121.95122,658.643326,682.4324324,5103.448276,3360.323887,96250.0,4534.161491,4.471181919069544,7.406918032914808,8.09437844497296,6.66252910530976,6.888470005285503,7.703963079666568,8.54148596212928,6.491699273792058,6.527127795973913,8.537867649537846,8.120090189342218,11.474714641706449,8.419615971838041,2209.06332213,20153.895277,0.10960974499760423,0.955704618968669,0.14526243213041692,0.05302283923061795,0.21611482061874474,124696.30637263,9592.023567125385,25073.626637175123,96250.0,86.46003263,96163.53996737,-0.3064833981030395,-0.8179857439317252,0.4867928198029176,128.64588182610458
3575,34.74714519,294.3089431,938.75,6.394316163,57.78894472,542.1245421,3760.162602,13.12910284,18.85135135,4724.137931,1538.461538,66000.0,2409.937888,3.5764704111262753,5.688022073086426,6.845613882444288,2.000711618999796,4.073953822261566,6.297338652935297,8.232483391250224,2.6482367014039365,2.9882720829016343,8.460652031247804,7.339187983616283,11.097425172408931,7.787771115924814,73.121915543,9483.7455132,0.007710235943543049,0.19373160649190485,0.005447900918910363,0.07157784743830943,0.023979433239243956,80338.79430446301,6179.907254189462,17332.520684658437,66000.0,6.394316163,65993.605683837,-0.4098295337041094,-0.7121400451692111,0.569996762596303,137.90343470426174
3101,10.24469821,178.4552846,426.875,6.927175844,67.83919598,291.2087912,1000.0,4.09190372,21.68918919,1275.862069,522.2672065,9750.0,720.4968944,2.4198967473454944,5.189926066031559,6.05883109685035,2.0702968365281187,4.2317732917283575,5.677468585106317,6.90875477931522,1.6276517724252766,3.1218885639091067,7.15216083845257,6.260092244684156,9.18512512283512,6.581328073838757,42.952966964,3139.3031767,0.013682325195322276,0.18059021185924623,0.005679280155299335,0.1308576480891428,0.0941561253256165,14275.957408643999,1098.1505698956921,2528.4407697516435,9750.0,4.09190372,9745.90809628,-0.41000344940835043,-0.7121547104168333,0.5698533494719238,137.91343445547827
5424,324.6329527,1065.04065,2550.0,293.0728242,340.201005,1868.131868,5609.756098,260.3938731,251.3513514,12715.17241,3307.692308,45385.0,4670.807453,5.785770835088476,6.9717067372069925,7.844240718141811,5.6838274380263085,5.832471761099704,7.5332293603438565,8.632440766262256,5.566028362124304,5.530822368032483,9.450629880447742,8.104308317197383,10.722958966429568,8.449301310687895,1129.4510014,19071.428377,0.05922215048679245,1.0022294059279178,0.055749220164706875,0.280162441549407,0.07283558749754449,78641.2527934,6049.3271379538455,11837.159643610348,45385.0,251.3513514,45133.6486486,-0.024756130772870047,0.6751364770291466,0.7372773368101241,75.20666756301246
4967,23.91517129,339.8373984,1028.8125,10.30195382,82.16080402,622.1611722,3274.796748,1.291028446,17.63513514,10516.55172,1541.700405,145156.25,2380.372671,3.2154769066846502,5.831405526023689,6.93713202581765,2.4249756151968263,4.420776131293242,6.434805188700293,8.094316400313188,0.8290008198063227,2.925048784850191,9.260800732971006,7.341289669544598,11.885572916534715,7.775432352928717,53.143288696,9187.6808946,0.0057841896447938706,0.2706436627201627,0.0005423640008920419,0.07244987191338678,0.0345159415525335,164995.786707316,12691.983592870462,38337.7169523716,145156.25,1.291028446,145154.958971554,-0.07207259507882015,0.867366461476135,0.49242356010346716,76.94530287511805
1526,16.3132137,453.2520325,1316.25,5.861456483,111.0552764,783.8827839,2821.138211,2.407002188,20.33783784,3689.655172,1781.376518,19750.0,2888.198758,2.851470007646585,6.118652181674636,7.183301509089395,1.9259197345082115,4.718992288830353,6.665534386760475,7.945250107471435,1.2258327808858438,3.0604819211528023,8.21355927466137,7.485702875274549,9.890959401958858,7.968734496299817,44.919510210999995,10044.098303399998,0.0044722292484256345,0.12333420993666053,0.0008333921550583977,0.18681798338294595,0.03845139675859822,33639.728262011,2587.6714047700766,5104.0465426974315,19750.0,2.407002188,19747.592997812,-0.4058125294191762,0.6650886448236734,0.626875813453526,103.48696245109998
6687,84.33931485,361.0162602,809.25,13.85435169,145.3266332,551.8315018,1870.325203,7.746170678,45.0,1500.0,1165.587045,3465.0,1680.745342,4.446635249253288,5.8916891284965605,6.697342842021657,2.6982928654176095,4.98584133657066,6.315053256719841,7.534402123570251,2.16861596777859,3.828641396489095,7.313886831633462,7.061837709337596,8.150756470275551,7.427587427167971,150.93983721799998,6438.755352,0.023442393590505466,0.1713197156275617,0.00460877116825663,0.4329004327754977,0.0864655873093798,11700.021822418,900.0016786475385,981.6801278455712,3465.0,7.746170678,3457.253829322,-0.4191411020937901,0.7993628287958615,0.43051109680829514,100.1140247573167
3545,14.92659054,164.2276423,470.0,3.019538188,37.63819095,280.2197802,1105.691057,1.575492341,13.24324324,1896.551724,680.1619433,28375.0,922.9813665,2.767990073393936,5.107324173360585,6.154858094016418,1.391167017424912,3.6542411901841354,5.639136499567883,7.009129812457391,0.9460407162275843,2.656282635669434,7.548319767923298,6.523800080081694,10.253298996453458,6.828691905312804,32.764864309,3623.2817893,0.009042869477255628,0.1352474163611785,0.0017069600714339447,0.06683882727517748,0.040778928237681894,33965.236568559,2612.710505273769,7456.857921992069,28375.0,1.575492341,28373.424507659,-0.4098295337041094,-0.7121400451692111,0.569996762596303,137.90343470426174
1834,18.27079935,279.2682927,738.75,3.019538188,72.86432161,452.3809524,1556.910569,2.253829322,18.04054054,2620.689655,983.805668,12375.0,1726.708075,2.95859096314352,5.635747332614243,6.606312291280319,1.391167017424912,4.302229918544028,6.116732726604281,7.351100823627857,1.1798325556695146,2.9465704186661212,7.871574295380866,6.892444330337028,9.423514392252901,7.454550997013652,41.5847074,5737.8235571,0.007247470574673822,0.08328337003104891,0.0013052752537192627,0.21177290139702845,0.0421984020476661,20847.96224111,1603.6894031623076,3207.9555146372013,12375.0,2.253829322,12372.746170678,-0.4302692242427318,0.6383809195334567,0.6382305196754353,106.1106162015249
4748,29.07014682,274.3902439,1027.5,10.30195382,56.53266332,551.2820513,3808.943089,2.428884026,28.51351351,11344.82759,1793.522267,114250.0,2447.204969,3.4035328795957676,5.618189160467358,6.935856709093012,2.4249756151968263,4.052352844258714,6.314058878280208,8.245369530738843,1.232234851386513,3.3848482435415783,9.336605342107386,7.4924941189810035,11.646153061453376,7.803110369293792,70.314498176,9902.842620200001,0.0071004357905749965,0.25659282478000034,0.0009925135228864791,0.09929827212166917,0.023100910636022452,135624.517371696,10432.655182438155,30117.714305681868,114250.0,2.428884026,114247.571115974,-0.361911088875822,-0.47046049277065827,0.8047902139630589,146.76874879494267
