lat,lon,class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
40.49,-121.51,magmatic,274.0130506,1715,6126.875,68.20603908,464.4221106,3427.655678,17094.71545,10.61269147,69.52702703,110931.0345,9367.611336,365250,13501.98758
32,103.27,detrital,15.82381729,120.3252033,331.25,6.039076377,44.72361809,203.2967033,947.1544715,2.866520788,12.43243243,310.3448276,457.4898785,1575,708.0745342
32,103.27,detrital,8.482871126,312.601626,693.75,7.815275311,105.5276382,494.5054945,1443.089431,5.2297593,29.7972973,758.6206897,854.2510121,3462.5,1229.813665
32,103.27,detrital,12.56117455,231.300813,550,10.12433393,75.87939698,377.2893773,1284.552846,4.638949672,24.7972973,793.1034483,712.5506073,3500,1018.63354
32,103.27,detrital,17.29200653,314.6341463,700,6.74955595,114.5728643,494.5054945,1585.365854,11.75054705,33.24324324,903.4482759,923.0769231,4537.5,1285.714286
32,103.27,detrital,61.82707993,189.4308943,451.875,21.84724689,74.87437186,331.5018315,1089.430894,7.592997812,26.41891892,1548.275862,582.9959514,5337.5,888.1987578
32,103.27,detrital,11.74551387,272.7642276,535.625,40.14209591,112.5628141,390.1098901,1166.666667,5.164113786,32.09459459,748.2758621,680.1619433,5650,950.310559
32,103.27,detrital,19.08646003,344.7154472,675,55.06216696,119.0954774,507.3260073,1451.219512,4.967177243,33.10810811,1513.793103,850.2024291,6100,1198.757764
32,103.27,detrital,10.44045677,129.2682927,341.25,13.14387211,41.50753769,216.1172161,804.8780488,2.49452954,12.77027027,3162.068966,437.2469636,8900,639.7515528
32,103.27,detrital,19.90212072,283.7398374,731.25,28.41918295,87.43718593,472.5274725,1739.837398,5.90809628,25,1593.103448,987.854251,9412.5,1378.881988
32,103.27,detrital,23.00163132,495.9349593,962.5,71.93605684,217.5879397,719.7802198,2097.560976,21.05032823,75.13513514,1951.724138,1186.234818,10562.5,1602.484472
32,103.27,detrital,26.75367047,217.8861789,631.25,4.440497336,61.30653266,380.952381,1609.756098,4.113785558,14.59459459,3110.344828,874.4939271,10875,1285.714286
32,103.27,detrital,7.993474715,251.6260163,681.25,25.75488455,91.45728643,424.9084249,1654.471545,4.617067834,25.47297297,1041.37931,870.4453441,11050,1204.968944
32,103.27,detrital,41.92495922,191.4634146,400,25.93250444,74.3718593,261.9047619,1235.772358,4.245076586,25,3131.034483,578.9473684,11162.5,913.0434783
32,103.27,detrital,21.20717781,122.3577236,250,19.18294849,45.72864322,181.6849817,743.902439,2.582056893,20.54054054,1279.310345,348.1781377,11425,517.3913043
32,103.27,detrital,18.10766721,520.3252033,1193.75,21.13676732,192.9648241,827.8388278,2304.878049,18.66520788,68.91891892,2079.310345,1457.489879,12162.5,1950.310559
33.3,102.29,detrital,200.6525285,699.1869919,1650,93.78330373,264.321608,1102.564103,4796.747967,84.46389497,120.9459459,14931.03448,2251.012146,30750,3503.10559
33.3,102.29,detrital,38.00978793,329.6747967,981.25,11.19005329,77.38693467,593.4065934,3012.195122,16.82713348,24.05405405,4137.931034,1408.906883,32125,2167.701863
33.3,102.29,detrital,32.46329527,306.9105691,862.5,12.96625222,79.89949749,545.7875458,2666.666667,8.358862144,21.21621622,6689.655172,1210.526316,32500,1937.888199
33.3,102.29,detrital,18.59706362,414.6341463,1225,38.89875666,113.5678392,749.0842491,3995.934959,7.242888403,29.45945946,7310.344828,1748.987854,32750,2801.242236
33.3,102.29,detrital,23.00163132,626.0162602,1406.25,11.36767318,220.1005025,996.3369963,3044.715447,16.54266958,66.41891892,5931.034483,1769.230769,34250,2565.217391
33.3,102.29,detrital,2.055464927,206.504065,706.25,7.104795737,51.25628141,395.6043956,2573.170732,2.713347921,14.52702703,2434.482759,1085.020243,35500,1819.875776
33.3,102.29,detrital,47.79771615,422.7642276,1181.25,17.58436945,118.0904523,730.7692308,3516.260163,8.074398249,32.77027027,8448.275862,1720.647773,35625,2614.906832
33.3,102.29,detrital,53.83360522,556.9105691,1231.25,66.07460036,188.4422111,853.4798535,3121.95122,31.07221007,68.91891892,4448.275862,1647.773279,36000,2459.627329
33.3,102.29,detrital,40.61990212,234.9593496,793.75,10.12433393,53.26633166,450.5494505,2585.365854,1.378555799,12.16216216,5172.413793,1161.94332,36750,1863.354037
33.3,102.29,detrital,89.39641109,323.5772358,756.25,15.09769094,118.0904523,520.1465201,1634.146341,66.52078775,63.91891892,5586.206897,1008.097166,37125,1366.459627
33.3,102.29,detrital,4.094616639,662.601626,1912.5,4.440497336,169.3467337,1214.285714,4674.796748,3.960612691,35.60810811,3275.862069,2595.1417,38500,3726.708075
33.3,102.29,detrital,15.62805873,642.2764228,1693.75,15.63055062,186.9346734,1060.43956,4105.691057,7.002188184,43.58108108,5206.896552,2210.526316,39000,3105.590062
33.3,102.29,detrital,18.10766721,601.6260163,1756.25,17.93960924,161.8090452,1109.89011,4512.195122,5.448577681,32.2972973,8482.758621,2295.546559,39750,3329.192547
33.3,102.29,detrital,10.48939641,504.0650407,1031.25,27.35346359,173.3668342,741.7582418,2113.821138,9.080962801,42.97297297,6965.517241,1263.157895,39875,1714.285714
33.3,102.29,detrital,63.62153344,719.5121951,1687.5,27.70870337,201.0050251,1159.340659,2292.682927,6.01750547,44.45945946,16034.48276,1995.951417,40000,2360.248447
33.3,102.29,detrital,27.40619902,234.9593496,668.75,6.039076377,59.79899497,412.0879121,1817.073171,8.402625821,17.63513514,5482.758621,923.0769231,43250,1378.881988
33.3,102.29,detrital,10.65252855,406.504065,1237.5,21.13676732,114.0703518,782.0512821,3089.430894,6.914660832,31.14864865,11551.72414,1651.821862,44750,2372.670807
33.3,102.29,detrital,16.47634584,768.2926829,1693.75,21.13676732,269.3467337,1216.117216,3243.902439,23.41356674,80.40540541,6724.137931,2068.825911,44875,2720.496894
33.3,102.29,detrital,9.363784666,686.9918699,1912.5,5.506216696,175.879397,1247.252747,4430.894309,7.04595186,37.97297297,5206.896552,2530.364372,47750,3571.428571
33.3,102.29,detrital,58.23817292,577.2357724,1487.5,31.43872114,168.3417085,950.5494505,3772.357724,18.64332604,43.24324324,7724.137931,2016.194332,50750,2875.776398
33.3,102.29,detrital,18.43393148,315.4471545,750,30.19538188,102.0100503,509.1575092,2121.95122,4.442013129,29.86486486,12034.48276,1008.097166,51000,1552.795031
33.3,102.29,detrital,19.41272431,299.1869919,756.25,3.197158082,83.41708543,496.3369963,1865.853659,3.06345733,20.54054054,5586.206897,1028.340081,51250,1465.838509
33.3,102.29,detrital,7.422512235,269.1056911,625,3.552397869,48.04020101,450.5494505,1304.878049,1.334792123,9.932432432,1768.965517,789.4736842,57000,1105.590062
33.3,102.29,detrital,29.36378467,1597.560976,3400,16.87388988,562.8140704,2472.527473,6463.414634,22.97592998,135.1351351,15620.68966,4089.068826,64125,5372.670807
33.3,102.29,detrital,92.65905383,426.8292683,1150,53.9964476,145.7286432,708.7912088,3646.341463,61.26914661,78.37837838,9172.413793,1700.404858,66750,2689.440994
33.3,102.29,detrital,18.10766721,230.0813008,681.25,43.1616341,68.84422111,391.9413919,2556.910569,6.608315098,26.41891892,4724.137931,1036.437247,69625,1701.863354
33.3,102.29,detrital,79.2822186,291.4634146,561.875,89.34280639,133.1658291,404.7619048,1670.731707,51.42231947,92.56756757,11793.10345,781.3765182,73500,1223.602484
33.3,102.29,detrital,110.4404568,638.2113821,1231.25,130.5506217,288.9447236,897.4358974,2849.593496,90.15317287,153.3783784,7241.37931,1611.336032,73750,2217.391304
